Restaurant: 1-Jaskan Grilli, address: Dagmarinkatu -, 00100 Helsinki
Restaurant: A-Hana, address: Palokoukunkuja 4, 00750 Helsinki
Restaurant: A21 Dining, address: Kalevankatu 17, 00100 Helsinki
Restaurant: Aa Han Thai, address: Mechelininkatu 17, 00100 Helsinki
Restaurant: Aalto-yliopiston kauppakorkeakoulu / Rafla, address: Runeberginkatu 14-16, 00100 Helsinki
Restaurant: Aangan, address: Hietalahdenkatu 8, 00180 Helsinki
Restaurant: ABC Vuosaaren satama, address: Rahtarinkatu 2, 00980 Helsinki
Restaurant: ABC-Deli, address: Mäkelänkatu, 00610 Helsinki
Restaurant: Abyssinia (Puotinkrouvi), address: Kastelholmantie 2, 00900 Helsinki
Restaurant: Acqua, address: Tammasaarenkatu 1-5, 00180 Helsinki
Restaurant: Alakerta, address: Telakkakatu 8, 00150 Helsinki
Restaurant: Albert's Coffee & Vintage, address: Albertinkatu 17, 00120 Helsinki
Restaurant: ALiShan, address: Läkkisepäntie 14, 00620 Helsinki
Restaurant: Allotria, address: Hämeentie 68, 00550 Helsinki
Restaurant: AlppiTori, address: 
Restaurant: Amanda Bar & Bistro, address: Eteläesplanadi 2, 00130 Helsinki
Restaurant: Amarillo Mikonkatu, address: Mikonkatu 9, 00100 Helsinki
Restaurant: Americana, address: Siltasaarenkatu 11, 00530 Helsinki
Restaurant: Amica Akavatalo, address: Rautatieläisenkatu 6, 00520 Helsinki
Restaurant: Amica Arcada, address: Jan-Magnus Janssonin Aukio 1, 00550 Helsinki
Restaurant: Amica Hanken, address: Arkadiankatu 22, 00100 Helsinki
Restaurant: Amica Insinöörit & Ekonomit, address: Ratavartijankatu 2, 00520 Helsinki
Restaurant: Amica Itämeri, address: Itämerenkatu 3, 00180 Helsinki
Restaurant: Amica Maistraatinportti, address: Maistraatinportti 2, 00240 Helsinki
Restaurant: Amica Mustajuuri, address: Asemamiehenkatu 2, 00520 Helsinki
Restaurant: Amica Salmisaari, address: Salmisaarenaukio 1, 00180 Helsinki
Restaurant: Amigo, address: Tehtaankatu 12, 00140 Helsinki
Restaurant: Amigo Pizzeria, address: Maatullinaukio, 00750 Helsinki
Restaurant: Amsterdam, address: Itämerenkuja 1 C, 00180 Helsinki
Restaurant: Angora (Capris), address: Kustaankatu 2, 00500 Helsinki
Restaurant: Angry Duck, address: Vanha Hämeenkyläntie 9, 00390 Helsinki
Restaurant: Ani, address: Telakkakatu 2, 00150 Helsinki
Restaurant: Annapurna, address: Fredrikinkatu 23, 00120 Helsinki
Restaurant: Antell Itämerentori, address: Itämerenkatu 15, 00180 Helsinki
Restaurant: Antell Tornado, address: Erik Palmenin aukio, 00560 Helsinki
Restaurant: Antell-ravintola Vallilan Akseli, address: Lemuntie 3-5, 00510 Helsinki
Restaurant: Antin Kaffeliiteri, address: Antin aukio Seurasaari, 00250 Helsinki
Restaurant: Antiokia Atabar, address: Eerikinkatu 44, 00180 Helsinki
Restaurant: Arena Center Hakaniemi, address: Sörnäisten rantatie 6, 00530 Helsinki
Restaurant: Arena Center Ruskeasuo, address: Nauvontie 3, 00280 Helsinki
Restaurant: Armas Pikaruokala, address: Aleksanterinkatu 9, 00100 Helsinki
Restaurant: Arnolds Bakery & Coffee Shop City-Center, address: Kaivokatu 8, Asematunneli, 00100 Helsinki
Restaurant: Arnolds Bakery & Coffee Shop Forum, address: Mannerheimintie 20, 00100 Helsinki
Restaurant: Arnolds Bakery & Coffee Shop Kamppi, address: Urho Kekkosen katu 1, 00100 Helsinki
Restaurant: Aromi, address: Tuhkimontie 2 A, 00820 Helsinki
Restaurant: Aschan Vallila, address: Teollisuuskatu 21, 00510 Helsinki
Restaurant: Aseman Grilli, address: Pennikuja 4, 00440 Helsinki
Restaurant: Aseman Wursti, address: Rautatieasema, 00100 Helsinki
Restaurant: Asia Palace, address: Särkiniementie 5, 00210 Helsinki
Restaurant: Asian Woking, address: Hansakuja 4 -4, 00930 Helsinki
Restaurant: Ateljé Finne, address: Arkadiankatu 14, 00100 Helsinki
Restaurant: Auringon Pizza Kebab, address: Opastinsilta 12 b, 00520 Helsinki
Restaurant: Azadi, address: Kauppakartanonkatu 16, 00930 Helsinki
Restaurant: Baguette, address: Ala-Malmintori 5, 00700 Helsinki
Restaurant: Baguette & Co., address: Rautatieasema, 00100 Helsinki
Restaurant: Baker's, address: Mannerheimintie 12, 00100 Helsinki
Restaurant: Bakfickan, address: Liisankatu 2, 00170 Helsinki
Restaurant: Bambu (Helsingin jäähalli), address: Nordenskiöldinkatu 11-13, 00250 Helsinki
Restaurant: Bambu Hartwall Areena, address: Areenankuja 1, 00240 Helsinki
Restaurant: Bank Bar & Bistro, address: Unioninkatu 20, 00130 Helsinki
Restaurant: Bar 7 Blings, address: Vilhonkatu 7, 00100 Helsinki
Restaurant: Bar Bronco, address: Hämeentie 23, 00500 Helsinki
Restaurant: Bar Chaplin, address: Mannerheimintie 6, 00100 Helsinki
Restaurant: Bar Flagon, address: Vilhonvuorenkatu 5, 00500 Helsinki
Restaurant: Bar High Level, address: Mannerheimintie 130, 00270 Helsinki
Restaurant: Bar Loose, address: Annankatu 21, 00100 Helsinki
Restaurant: Bar Tapasta, address: Uudenmaankatu 13, 00120 Helsinki
Restaurant: Bar Teos, address: Runeberginkatu 61, 00260 Helsinki
Restaurant: Bar&Cafe Amici, address: Hämeentie 94 L 3, 00550 Helsinki
Restaurant: Barbarossa pizzaria & kebab, address: Yrjönkatu 29 (armas yökerhön vieressä), 00100 Helsinki
Restaurant: Baribal, address: Perämiehenkatu 6/8, 00150 Helsinki
Restaurant: Base Camp, address: Yliopistonkatu 5, 00100 Helsinki
Restaurant: Bastion Deli, address: Kruunuvuorenkatu 9, 00160 Helsinki
Restaurant: Bastis, address: Alvar aallon katu 3, 00100 Helsinki
Restaurant: BBQ House, address: Urho Kekkosen katu 1, 00100 Helsinki
Restaurant: Beanie, address: Urho Kekkosenkatu 1, 00100 Helsinki
Restaurant: Bear Park Cafe - Karhupuiston kioski, address: Karhupuisto -, 00530 Helsinki
Restaurant: Bear Park Cafe - Kulmakahvio, address: Agricolankatu 13, 00530 Helsinki
Restaurant: Beefy Queen Jambo, address: Pieni Roobertinkatu 13, 00130 Helsinki
Restaurant: Belge bar&bistro, address: Kluuvikatu 5, 00100 Helsinki
Restaurant: Bellevue, address: Rahapajankatu 3, 00160 Helsinki
Restaurant: Ben & Jerry's, address: Pohjoisesplanadi 35, 00100 Helsinki
Restaurant: Benjam's Bistro, address: Dagmarinkatu 5, 00100 Helsinki
Restaurant: Berghyddan, address: Vanhankaupungintie 3, 00560 Helsinki
Restaurant: Bistro Gradus, address: Paciuksenkatu 25, 00270 Helsinki
Restaurant: Bistro Helsinki 15, address: Korkeavuorenkatu 4, 00150 Helsinki
Restaurant: Bistro Maria, address: Munkkiniemen Puistotie 19, 00330 Helsinki
Restaurant: Blancco (Pitäjänmäki), address: Pitäjänmäentie 14, 00380 Helsinki
Restaurant: Blinit, address: Sturenkatu 9, 00510 Helsinki
Restaurant: Blue Corner, address: Svinhufvudintie 1, 00570 Helsinki
Restaurant: Blue Ocean, address: Hopeatie 1, 00440 Helsinki
Restaurant: Blue Peter, address: Vattuniemen Puistotie 1, 00210 Helsinki
Restaurant: Boatip, address: Alppikatu 5, 00530 Helsinki
Restaurant: Boulevard Social, address: Bulevardi 6, 00100 Helsinki
Restaurant: Brasserie, address: Pikku Satamakatu 3-5, 00160 Helsinki
Restaurant: Brasserie Eira, address: Tehtaankatu 21, 01500 Helsinki
Restaurant: Brasserie Kämp, address: Pohjoisesplanadi 29, 00100 Helsinki
Restaurant: Brasserie Le Havre, address: Kaivokatu 12, 00100 Helsinki
Restaurant: Bravuria, address: Salomonkatu 1, 00100 Helsinki
Restaurant: Brewsters, address: Merikatu 6, 00120 Helsinki
Restaurant: Bridge Areena, address: Hiomotie 10, 00380 Helsinki
Restaurant: Bridges, address: John Stenbergin ranta 4, 00530 Helsinki
Restaurant: Britannia, address: Vanhaistentie 1, 00420 Helsinki
Restaurant: Bronda, address: Eteläesplanadi 20, 00130 Helsinki
Restaurant: Bryggeri Helsinki, address: Sofiankatu 2, 00170 Helsinki
Restaurant: Bud's Pizzeria, address: Helsinginkatu 11, 00500 Helsinki
Restaurant: Bulevardin Kahvisalonki, address: Bulevardi 1, 00100 Helsinki
Restaurant: Bullman, address: Fleminginkatu 21 B, 00500 Helsinki
Restaurant: Burger King, address: Kaivokatu 1, 00100 Helsinki
Restaurant: Cafe & Eepos, address: Runeberginkatu 29, 00100 Helsinki
Restaurant: Cafe & Restaurant Piritta, address: Eläintarhantie 12, 00530 Helsinki
Restaurant: Cafe 5 linja, address: Viides linja 9, 00530 Helsinki
Restaurant: Cafe Aalto, address: Keskuskatu 1, 00101 Helsinki
Restaurant: Cafe Agricola, address: Tehtaankatu 23 (sisäpihalta sisään), 00150 Helsinki
Restaurant: Cafe Akvamarine, address: Uudenmaankatu 19-21, 00130 Helsinki
Restaurant: Cafe Bar 52, address: Heikkiläntie 2, 00210 Helsinki
Restaurant: Cafe Bar Kivikko, address: Kivikonkaari 39 C, 00940 Helsinki
Restaurant: Cafe Bar No 9, address: Uudenmaankatu 9-11, 00120 Helsinki
Restaurant: Cafe Bar Romano, address: Läntinen Brahenkatu 4, 00510 Helsinki
Restaurant: Cafe Bar Valimo, address: Suomenlinna B 13, 00190 Helsinki
Restaurant: Cafe Boulevard, address: Itäkatu 1-5 A 14, 00930 Helsinki
Restaurant: Cafe Compass, address: Ehrenströmintie 1, 00140 Helsinki
Restaurant: Cafe Crepes, address: Helsingin Kauppatori, 00100 Helsinki
Restaurant: Cafe Del Mar, address: Viides linja 16, 00530 Helsinki
Restaurant: Cafe du Coin, address: Unioninkatu,26, 00130 Helsinki
Restaurant: Cafe Express, address: Ratapihantie 6, 00520 Helsinki
Restaurant: Cafe Faster, address: Itäkatu 1-5 B, 00930 Helsinki
Restaurant: Cafe II-linja 23, address: Toinen linja 23, 00530 Helsinki
Restaurant: Cafe Julia, address: Sturenkatu 11, 00510 Helsinki
Restaurant: Cafe Kasarmitori, address: Fabianinkatu / Pohjoinen Makasiinikatu, 00130 Helsinki
Restaurant: Cafe Kauppatori, address: Kauppatori, 00130 Helsinki
Restaurant: Cafe Kiasma, address: Mannerheiminaukio 2, 00100 Helsinki
Restaurant: Cafe Kotileipomo Laine Itäkeskus, address: Kauppakartanonkatu 3, 00900 Helsinki
Restaurant: Cafe Kuppi&Muffini, address: Kalevankatu 17, 00100 Helsinki
Restaurant: Cafe Lemon, address: Kauppalantie 22, 00320 Helsinki
Restaurant: Cafe London Pub, address: Keinulaudankuja 4 D 43, 00940 Helsinki
Restaurant: Cafe M/S Otto, address: Harustie 2, 00980 Helsinki
Restaurant: Cafe Mascot, address: Neljäs linja 2, 00530 Helsinki
Restaurant: Cafe Metro, address: Vuorikatu 16, 00100 Helsinki
Restaurant: Cafe Neuhaus, address: Unioninkatu 32, 00100 Helsinki
Restaurant: Cafe Noutoherkku, address: Siltasaarenkatu 3, 00530 Helsinki
Restaurant: Cafe Oulunkylä, address: Oulunkyläntie 7, 00600 Helsinki
Restaurant: Cafe Parisien, address: Kauppatori, 00130 Helsinki
Restaurant: Cafe Pub Paris, address: Keinulaudankuja 4, 00940 Helsinki
Restaurant: Cafe Regatta, address: Merikannontie 10, 00260 Helsinki
Restaurant: cafe Rixi, address: itämerenkatu 16, 00180 Helsinki
Restaurant: cafe rouge, address: urho kekkosen katu 4-6, 00100 Helsingfors
Restaurant: Cafe Stoa Cultural Kitchen, address: Turunlinnantie 1, 00900 Helsinki
Restaurant: Cafe Talo, address: Hämeentie 2 b, 00530 Helsinki
Restaurant: Cafe Tanja, address: Tyynenmerenkatu 1, 00220 Helsinki
Restaurant: Cafe Terminus, address: Katajanokka K 8, 00160 Helsinki
Restaurant: Cafe Torpanranta, address: Munkkiniemenranta 2, 00330 Helsinki
Restaurant: Cafe Ursula, address: Ehrenströmintie 3, 00140 Helsinki
Restaurant: Cafe Vanha, address: Mannerheimintie 3, 00100 Helsinki
Restaurant: Cafe Viikki, address: Putkitie 3, 00880 Helsinki
