Restaurant: 1-Jaskan Grilli, address: Dagmarinkatu -, 00100 Helsinki
Restaurant: 5th Street Bar & Cafe, address: Viides linja 7, HELSINKI
Restaurant: 7 veljestä, address: Aleksis Kiven katu 80, Helsinki
Restaurant: A & T Haajanen, address: Visakoivunkuja 3 B, Espoo
Restaurant: A-Hana, address: Palokoukunkuja 4, 00750 Helsinki
Restaurant: A21 Cocktail Lounge, address: Annankatu 21, HELSINKI
Restaurant: A21 Dining, address: Kalevankatu 17, 00100 Helsinki
Restaurant: Aa Han Thai, address: Mechelininkatu 17, 00100 Helsinki
Restaurant: Aalto-yliopiston kauppakorkeakoulu / Rafla, address: Runeberginkatu 14-16, 00100 Helsinki
Restaurant: Aangan, address: Hietalahdenkatu 8, 00180 Helsinki
Restaurant: Aapelin Baari, address: Ostostie 4, HELSINKI
Restaurant: Aatu Bar, address: Kalevankatu 46, HELSINKI
Restaurant: ABC Vuosaaren satama, address: Rahtarinkatu 2, 00980 Helsinki
Restaurant: ABC-Deli, address: Mäkelänkatu, 00610 Helsinki
Restaurant: Abin Baari, address: Fleminginkatu 13, Helsinki
Restaurant: Abin Baari Oy, address: Kamppiaistentie 12, HELSINKI
Restaurant: Abyssinia (Puotinkrouvi), address: Kastelholmantie 2, 00900 Helsinki
Restaurant: Acqua, address: Tammasaarenkatu 1-5, 00180 Helsinki
Restaurant: Adams, address: Erottajankatu 15-17, Helsinki
Restaurant: Adams Club & Restaurant, address: Erottajankatu 15-17, HELSINKI
Restaurant: Ahjo Bar and Night Club, address: Bulevardi 2-4, HELSINKI
Restaurant: Ahjo Bar&Club, address: Bulevardi 2-4, Helsinki
Restaurant: Aikatalon Parturi, address: Mikonkatu 8, Helsinki
Restaurant: Akateeminen Laulu, address: Karjalankatu 18 B 22, Helsinki
Restaurant: Akrobaatti Jani Hurmerinta, address: Hämeentie 2 B B 4, Helsinki
Restaurant: Aladdin, address: Itätuulenkuja 10, Espoo
Restaurant: Alakerta, address: Telakkakatu 8, 00150 Helsinki
Restaurant: Albert's Coffee & Vintage, address: Albertinkatu 17, 00120 Helsinki
Restaurant: Alcatraz, address: Eerikinkatu 3, Helsinki
