Restaurant: 5th Street Bar & Cafe, address: Viides linja 7, HELSINKI
Restaurant: A21 Cocktail Lounge, address: Annankatu 21, HELSINKI
Restaurant: Aapelin Baari, address: Ostostie 4, HELSINKI
Restaurant: Aatu Bar, address: Kalevankatu 46, HELSINKI
Restaurant: Abin Baari Oy, address: Kamppiaistentie 12, HELSINKI
Restaurant: Adams Club & Restaurant, address: Erottajankatu 15-17, HELSINKI
Restaurant: Ahjo Bar and Night Club, address: Bulevardi 2-4, HELSINKI
Restaurant: Alcatraz Club, address: Eerikinkatu 3, HELSINKI
Restaurant: Ale-Pub Kaivopiha, address: Mannerheimintie 5, HELSINKI
Restaurant: ALONSO OY, address: Testikatu 100, HELSINKI
Restaurant: American Bar, address: Kalevankatu 5, HELSINKI
Restaurant: Amsterdam, address: Itämerenkuja 1 C, HELSINKI
Restaurant: Angleterre, address: Fredrikinkatu 47, HELSINKI
Restaurant: Anniskeluravintola Roska, address: Eerikinkatu 11, HELSINKI
Restaurant: Apollo Café, address: Mannerheimintie 16, HELSINKI
Restaurant: Apollo Live Club, address: Mannerheimintie 16, HELSINKI
Restaurant: Apollo live club, address: Iso Puistotie 1, HELSINKI
Restaurant: Arkadian Kebab, address: Tattarisuontie 1, HELSINKI
Restaurant: Aschan Coffee & Deli Helsinki, Kamppi, address: Urho Kekkosen katu 1, HELSINKI
Restaurant: Aschan Coffee & Deli Helsinki, Sanomatalo, address: Alvar Aallon kuja 2, HELSINKI
Restaurant: Aschan Coffee & Deli Helsinki, Vallila, address: Teollisuuskatu 21, HELSINKI
Restaurant: Ateljee Bar, address: Kalevankatu 5, HELSINKI
Restaurant: Aussie Bar, address: Salomonkatu 5, HELSINKI
Restaurant: Aussie Club Helsinki, address: Vilhonkatu 6, HELSINKI
Restaurant: Baarikärpänen, address: Mikonkatu 15, HELSINKI
Restaurant: Baguette & Co., address: Helsingin rautatieasema, HELSINKI
Restaurant: Baldoria Rixi Baari Oy, address: Isokaari 24, HELSINKI
Restaurant: Bar & Cafe Mister X, address: Keinulaudankuja 4 Lh 4, HELSINKI
Restaurant: Bar & Cafe Molotow, address: Vaasankatu 29, HELSINKI
Restaurant: Bar & Pool Trickshot, address: Näkinkuja 1, HELSINKI
Restaurant: Bar 21, address: Helsinginkatu 21, HELSINKI
Restaurant: Bar 52, address: Heikkiläntie 2, HELSINKI
Restaurant: Bar 62, address: Metsäpurontie 16, HELSINKI
Restaurant: Bar 71, address: Meripihkatie 1, HELSINKI
Restaurant: Bar 9, address: Uudenmaankatu 9, HELSINKI
Restaurant: Bar All In, address: Mikonkatu 19, HELSINKI
Restaurant: Bar Baron, address: Eerikinkatu 17, HELSINKI
Restaurant: Bar Bhangra, address: Runeberginkatu 28, HELSINKI
Restaurant: Bar Bronco, address: Hämeentie 23, HELSINKI
Restaurant: Bar Bäkkäri & Ravintola Komppi, address: Pohjoinen Rautatiekatu 21, HELSINKI
Restaurant: Bar Cafe Flemari, address: Fleminginkatu 21 A, HELSINKI
Restaurant: Bar Cafe Haagan Helmi, address: Näyttelijäntie 14 C, HELSINKI
Restaurant: Bar Code, address: Mannerheimintie 50, HELSINKI
Restaurant: Bar Exodus, address: Hämeentie 81-83, HELSINKI
Restaurant: Bar Fellows, address: Mannerheimintie 64, HELSINKI
Restaurant: Bar Flagon, address: Vilhonvuorenkatu 5, HELSINKI
Restaurant: Bar High Level, address: Mannerheimintie 130, HELSINKI
Restaurant: Bar Idäntähti, address: Asiakkaankatu 3, HELSINKI
Restaurant: Bar KallioHovi, address: Vaasankatu 17, HELSINKI
Restaurant: Bar Kissa, address: Puustellinrinne 3, HELSINKI
Restaurant: Bar Lab, address: Alppikatu 17, HELSINKI
Restaurant: Bar Llamas, address: Iso-Roobertinkatu 14, HELSINKI
Restaurant: Bar Loose, address: Annankatu 21, HELSINKI
Restaurant: Bar Loosister, address: Hämeentie 50, HELSINKI
Restaurant: Bar Mendocino, address: Eerikinkatu 28, HELSINKI
Restaurant: Bar Mucava, address: Hämeentie 30, HELSINKI
Restaurant: Bar Musta Kissa, address: Toinen linja 15, HELSINKI
Restaurant: Bar Teos, address: Runeberginkatu 61, HELSINKI
Restaurant: Bar U2 Pihlis, address: Meripihkatie 1, HELSINKI
Restaurant: Bar We Got Beef, address: Iso Roobertinkatu 21, HELSINKI
Restaurant: Bar Åke Night-Club, address: Kallvikintie 55, HELSINKI
Restaurant: BarFanny, address: Bulevardi 40, HELSINKI
Restaurant: Beauti 1, address: Kaarlenkatu 3-5, HELSINKI
Restaurant: Beaver Bar/Majava Baari, address: Porthaninkatu 9, HELSINKI
Restaurant: Belge, address: Kluuvikatu 5, HELSINKI
Restaurant: Bierhuis Rotterdam, address: Tennispalatsinaukio 4, HELSINKI
Restaurant: Big Time Bar, address: Mikonkatu 8, HELSINKI
Restaurant: Biljardi Metropool, address: Toinen linja 3, HELSINKI
Restaurant: Biljardisali Ritz-Biljardi, address: Eteläinen Hesperiankatu 22, HELSINKI
Restaurant: Bistro Maria, address: Munkkiniemen puistotie 19, HELSINKI
Restaurant: Black Door Olutravintola, address: Iso Roobertinkatu 1, HELSINKI
Restaurant: Blue Peter, address: Vattuniemen Puistotie 1, HELSINKI
Restaurant: Brasserie Kämp, address: Pohjoisesplanadi 29, HELSINKI
Restaurant: Bravuria Helsinki Salomonkatu, address: Salomonkatu 1, HELSINKI
Restaurant: Brigantiini Mary Ann, address: Lahdensivunpolku 12, HELSINKI
Restaurant: Bryggeri Helsinki, address: Sofiankatu 2, HELSINKI
Restaurant: Cafe Bar Tauko, address: Aleksanterinkatu 11, HELSINKI
Restaurant: Cafe Cavalier, address: Malminrinne 2-4, HELSINKI
