Restaurant: Pasha's Restaurant, address: Eerikinkatu 14, 00100 Helsinki
Restaurant: Ravintola Kuudes Linja, address: Hämeentie 13, HELSINKI
Restaurant: Ravintola Olotila, address: Gunnel Nymanin katu 5, HELSINKI
Restaurant: Patisserie Teemu & Markus, address: Yrjönkatu 25, 00100 Helsinki
Restaurant: Café Red, address: Arkadiankatu 19, 00100 Helsinki
Restaurant: Antiokia Atabar, address: Eerikinkatu 44, 00180 Helsinki
Restaurant: Kahvila Suomi, address: Pursimiehenkatu 12, 00150 Helsinki
Restaurant: Palmeri Pizza and Kebab, address: Hämeentie 35 a, 00500 Helsinki
Restaurant: Ravintola New Parkstad, address: Puistolantori 6, HELSINKI
Restaurant: Mamma Mia Two, address: Mäkitorpantie 18, 00620 Helsinki
Restaurant: Pasilan Express, address: Ratapihantie 3, 00520 Helsinki
Restaurant: Pastis, address: Pieni Roobertinkatu 2, 00130 Helsinki
Restaurant: Cafe Mascot, address: Neljäs linja 2, 00530 Helsinki
Restaurant: Ravintola Saaga, address: Bulevardi 34, 00120 Helsinki
Restaurant: Live Laugh Love, address: Viipurinkatu 7, 00510 Helsinki
Restaurant: The Circus, address: Salomonkatu 1-3, HELSINKI
Restaurant: Ravintola Baker's, address: Mannerheimintie 12, HELSINKI
Restaurant: Pihlajiston Pizzeria, address: Salpausseläntie 13 B, 00710 Helsinki
Restaurant: Pihvipaikka Karhunpesä, address: Alppikatu 9, 00530 Helsinki
Restaurant: Stockmann Deli (Mannerheimintie), address: Aleksanterinkatu 52, 00100 Helsinki
Restaurant: BarFanny, address: Bulevardi 40, HELSINKI
Restaurant: Restaurant Pörssi, address: Fabianinkatu 14, 00100 Helsinki
Restaurant: Coffee House Citykäytävä, address: Keskuskatu 6, 00100 Helsinki
Restaurant: Halikarnas, address: Ruoholahdenkatu 18, 00180 Helsinki
Restaurant: Nikolai II, address: Kolera-allas, 00130 Helsinki
Restaurant: Ravintola Täysikuu, address: Huovitie 3, 00400 Helsinki
Restaurant: Ravintola O'Malley's, address: Yrjönkatu 26, HELSINKI
Restaurant: M/S Baltic Princess, Buffet Tallink, address: Länsiterminaali L4, Tyynenmerenkatu 8, 00220 Helsinki
Restaurant: Tali Café, address: Huopalahdentie 28, 00350 Helsinki
Restaurant: Graniittilinna, address: Säästöpankinranta 6, 00530 Helsinki
Restaurant: Sir Olavi Pikku Huopalahti, address: Korppaanmäentie 11, 00300 Helsinki
Restaurant: Picnic Asematunneli City-Center, address: Asematunneli, 00100 Helsinki
Restaurant: KaffaRoastery, address: Pursimiehenkatu 29, 00150 Helsinki
Restaurant: DaYou Life restaurant, address: Itälahdenkatu 20, 00210 Helsinki
Restaurant: Azadi, address: Kauppakartanonkatu 16, 00930 Helsinki
Restaurant: West Lake Tea House, address: Kirkkokatu 5, 00170 Helsinki
Restaurant: Ravintola Meritähti, address: Itämerenkatu 14 A 8, 00180 Helsinki
Restaurant: SorviS, address: Sorvaajankatu 15, 00880 Helsinki
Restaurant: Kattohaikara, address: Työpajankatu 10 A, 00580 Helsinki
Restaurant: Kuu, address: Töölönkatu 27, 00260 Helsinki
Restaurant: Yeti-Nepal, address: Itämerenkatu 12, 00180 Helsinki
Restaurant: Restaurant Maithai, address: Annankatu 31-33, 00100 Helsinki
Restaurant: Kynä & paperi, address: Hämeentie 135 D, 00560 Helsinki
Restaurant: Kuja Bar & Bistro, address: Hakaniemenkatu 7, 00530 Helsinki
Restaurant: Moskova, address: Eerikinkatu 11, 00100 Helsinki
Restaurant: Ravintola Lobby Bar, address: Elielinaukio 5, HELSINKI
Restaurant: Classic Cafe, address: Ratavartijankatu 3, 00520 Helsinki
Restaurant: Hesburger Hartwall Areena, address: Veturitie 13, 00240 Helsinki
Restaurant: Café Jugend, address: Pohjoisesplanadi 19, HELSINKI
Restaurant: Americana, address: Siltasaarenkatu 11, 00530 Helsinki
Restaurant: Juhlakentän kioski, address: 
Restaurant: Ravintola Aito, address: Museokatu 29, 00100 Helsinki
Restaurant: M/S Doris, IHA-Lines Oy Helsinki Cruises, address: Kolera-allas 2, 00130 Helsinki
Restaurant: Issukka Jarkko Tmi, address: Väinämöisenkatu 31 B 37, HELSINKI
Restaurant: Arnolds Bakery & Coffee Shop Forum, address: Mannerheimintie 20, 00100 Helsinki
Restaurant: Little Big Cafe Jätkäsaari [Verkkokauppa.com, katutaso], address: Tyynenmerenkatu 11, 00220 Helsinki
Restaurant: Kannas, address: Eerikinkatu 43, 00180 Helsinki
Restaurant: Milli Miglia, address: Kalevankatu 36, HELSINKI
Restaurant: Deli Mechelininkatu ABC, address: Mechelininkatu 5, Helsinki, 00100 Helsinki
Restaurant: Hampuris Herttoniemi, address: Laivalahdenkatu, 00880 Helsinki
Restaurant: Kombo Winebar & Kitchen, address: Kulmavuorenkatu 4, 00500 Helsinki
Restaurant: Kauppahallin Super Kebab, address: Eteläranta 1 Vanha Kauppahalli 93-95, 00130 Helsinki
Restaurant: Pub Cheers, address: Mustalahdentie 4, HELSINKI
Restaurant: Bar All In, address: Mikonkatu 19, HELSINKI
Restaurant: Cafe Kotileipomo Laine Itäkeskus, address: Kauppakartanonkatu 3, 00900 Helsinki
Restaurant: Kuparikulma Karaoke Bar, address: Kuparitie 1, HELSINKI
Restaurant: Pizzeria Marmaris, address: Fleminginkatu 13, 00500 Helsinki
Restaurant: Ravintola Sorbet, address: Sitratie 7, HELSINKI
Restaurant: Lungberg, address: Kankurinkatu 3, 00150 Helsinki
Restaurant: Britannia, address: Vanhaistentie 1, 00420 Helsinki
Restaurant: Sushi-Sui, address: Sentnerikuja 3, 00440 Helsinki
Restaurant: Viiden Pennin Krouvi, address: Mannerheimintie 55, 00250 Helsinki
Restaurant: Ravintola Fransmanni, address: Kluuvikatu 8, HELSINKI
Restaurant: Lounasparkki Oy, address: Postintaival 5, 00240 Helsinki
Restaurant: Vaelsa, address: Annankatu 4, 00120 Helsinki
